X.1;Antwerpen;Mechelen;Turnhout;Hasselt;Maaseik;Tongeren;Aalst;Dendermonde;Eeklo;Gent;Oudenaarde;Sint-Niklaas;Halle-Vilvoorde;Leuven;Brugge;Diksmuide;Ieper;Kortrijk;Oostende;Roeselare;Tielt;Veurne
2003;126,1;106;105,1;104,3;73,9;58,5;64,9;70;68,9;112;92,8;93,3;118,1;85,6;96,8;68,3;79,4;103;75,7;101;112,8;95,8
2023;115;107;116,5;93,5;69;56,8;64;67,6;65,9;121,1;71,9;90,1;126,8;92,6;97,7;68,6;88,4;103,4;81;99,1;104,7;85,8
